domain,miner_ip
equihash144.na.mine.zpool.ca,198.50.168.213
equihash144.sea.mine.zpool.ca,198.50.168.213
equihash192.asia.mine.zergpool.com,51.79.251.11
equihash192.eu.mine.zergpool.com,141.95.55.97
equihash192.eu.mine.zpool.ca,188.165.24.209
equihash192.jp.mine.zpool.ca,198.50.168.213
equihash192.mine.zergpool.com,103.249.70.7
equihash192.na.mine.zergpool.com,149.56.111.148
equihash192.na.mine.zpool.ca,198.50.168.213
equihash192.sea.mine.zpool.ca,198.50.168.213
equihash96.eu.mine.zpool.ca,188.165.24.209
equihash96.na.mine.zpool.ca,198.50.168.213
es.huobipool.com,8.136.41.145
etc-solo.baikalmine.com,89.108.117.245
etc-solo.wattpool.net,167.86.107.32
etc.2miners.com,141.95.124.99
etc.altpool.pro,37.187.226.146
etc.baikalmine.com,89.108.117.245
etc.coolpool.top,89.232.109.242
etc.digipools.org,45.43.30.3
etc.ethashpool.com,35.183.200.119
etc.ethermine.org,104.21.39.175
etc.f2pool.com,172.65.197.4
etc.hashcity.org,138.201.198.155
etc.pool.minergate.com,46.4.119.209
etc.pool.zet-tech.eu,95.217.117.31
etc.solomine.org,104.21.59.21
etcturk.com,188.132.174.88
eth-asia1.hellominer.com,20.212.212.80
eth-au.dwarfpool.com,127.0.0.1
eth-cn.dwarfpool.com,127.0.0.1
eth-esoteria.icanmining.ru,80.66.80.221
eth-eu.dwarfpool.com,127.0.0.1
eth-eu.f2pool.com,172.65.212.50
eth-eu.sparkpool.com,172.65.233.185
eth-eu1.hellominer.com,52.232.17.180
eth-na.f2pool.com,172.65.212.50
eth-solo.wattpool.net,167.86.74.33
eth-us.dwarfpool.com,127.0.0.1
eth-us.f2pool.com,172.65.212.50
eth-us1.hellominer.com,52.224.9.152
eth.2miners.com,51.195.88.15
eth.altpool.pro,141.95.3.13
eth.digipools.org,45.43.30.3
eth.ethashpool.com,35.183.200.119
eth.f2pool.com,172.65.212.50
eth.hashcity.org,138.201.198.155
eth.hiveon.net,34.90.112.127
eth.miningfrance.io,82.64.110.249
eth.pool-moscow.ru,81.91.189.51
eth.pool.minergate.com,78.46.49.222
eth.pool.zet-tech.eu,95.217.117.31
eth.ss.poolin.com,172.65.223.165
eth.ukrpool.com,18.142.208.193
eth.viabtc.top,172.65.217.224
ethash-eu.unmineable.com,138.68.130.227
ethash-us.unmineable.com,174.138.53.224
ethash.asia.mine.zergpool.com,51.79.251.11
ethash.eu.mine.zergpool.com,141.95.55.97
ethash.mine.zergpool.com,103.249.70.7
ethash.na.mine.zergpool.com,149.56.111.148
ethash.tron-mining.com,138.68.130.227
ethash.unmineable.com,138.68.130.227
ether1-solo.wattpool.net,149.56.143.200
ether1.weeminepool.com,142.44.216.170
ethereum.trustpool.ru,18.158.132.28
