domain,miner_ip
us1-zil.shardpool.io,15.197.143.18
us1.fairpool.pro,192.157.56.142
us1.hellominer.com,52.224.9.152
us1.stratu.ms,157.245.183.239
us1.zhash.pro,207.244.251.151
us2-zil.rustpool.xyz,3.20.46.49
us2.litecoinpool.org,23.92.25.116
us2mine.com,70.117.210.57
usa-west.dgb256.online,147.135.76.240
uspool.electroneropulse.org,172.67.160.223
vdl.raptorpool.org,45.136.28.221
vegas-backup.xmrpool.net,141.94.96.144
veil-eu.coinblockers.com,103.214.5.103
veil-us.coinblockers.com,103.214.5.103
veil.suprnova.cc,145.239.0.50
vertcoin.hashalot.net,168.235.70.129
verushash.asia.mine.zergpool.com,51.79.251.11
verushash.eu.mine.zergpool.com,141.95.55.97
verushash.mine.zergpool.com,103.249.70.7
verushash.na.mine.zergpool.com,149.56.111.148
viabtc.com,104.18.5.83
viabtc.net,104.18.16.216
vidulum.dapool.io,198.100.144.29
vrsc.ginasismining.com,212.32.237.91
vtc.suprnova.cc,145.239.0.126
vvpool.com,203.107.43.165
webmng.semipool.com,172.67.181.237
webwxtc.semipool.com,172.67.181.237
west.us.rvn.minermore.com,45.32.132.86
wownero.ingest.cryptoknight.cc,69.16.230.42
www.eelpool.com,91.195.240.94
www.mineit.io,3.64.163.50
x11.asia.mine.zergpool.com,51.79.251.11
x11.br.nicehash.com,34.111.231.234
x11.eu.mine.zergpool.com,141.95.55.97
x11.eu.mine.zpool.ca,188.165.24.209
x11.eu.nicehash.com,34.111.231.234
x11.hk.nicehash.com,34.111.231.234
x11.in.nicehash.com,34.111.231.234
x11.jp.mine.zpool.ca,198.50.168.213
x11.jp.nicehash.com,34.111.231.234
x11.mine.ahashpool.com,3.64.163.50
x11.mine.blazepool.com,3.64.163.50
x11.mine.zergpool.com,103.249.70.7
x11.mine.zpool.ca,198.50.168.213
x11.mining-dutch.nl,51.178.75.42
x11.na.mine.zpool.ca,198.50.168.213
x11.sea.mine.zpool.ca,198.50.168.213
x11.usa.nicehash.com,34.111.231.234
x11evo.eu.mine.zpool.ca,188.165.24.209
x11evo.jp.mine.zpool.ca,198.50.168.213
x11evo.na.mine.zpool.ca,198.50.168.213
x11gost.mining-dutch.nl,54.38.64.46
x13.asia.mine.zergpool.com,51.79.251.11
x13.br.nicehash.com,34.111.14.184
x13.eu.mine.zpool.ca,188.165.24.209
x13.eu.nicehash.com,34.111.14.184
x13.hk.nicehash.com,34.111.14.184
x13.in.nicehash.com,34.111.14.184
x13.jp.mine.zpool.ca,198.50.168.213
x13.jp.nicehash.com,34.111.14.184
x13.mine.zergpool.com,103.249.70.7
x13.na.mine.zpool.ca,198.50.168.213
x13.usa.nicehash.com,34.111.14.184
x15.eu.mine.zpool.ca,188.165.24.209
x15.jp.mine.zpool.ca,198.50.168.213
x15.na.mine.zpool.ca,198.50.168.213
x16r.asia.mine.zergpool.com,51.79.251.11
x16r.br.nicehash.com,35.186.193.182
x16r.eu.mine.zergpool.com,141.95.55.97
x16r.eu.mine.zpool.ca,188.165.24.209
x16r.eu.nicehash.com,35.186.193.182
x16r.hk.nicehash.com,35.186.193.182
x16r.in.nicehash.com,35.186.193.182
x16r.jp.mine.zpool.ca,198.50.168.213
x16r.jp.nicehash.com,35.186.193.182
x16r.mine.ahashpool.com,3.64.163.50
x16r.mine.blazepool.com,3.64.163.50
x16r.mine.zergpool.com,103.249.70.7
x16r.na.mine.zergpool.com,149.56.111.148
x16r.na.mine.zpool.ca,198.50.168.213
x16r.sea.mine.zpool.ca,198.50.168.213
x16r.usa.nicehash.com,35.186.193.182
x16rt.asia.mine.zergpool.com,51.79.251.11
x16rt.eu.mine.zpool.ca,188.165.24.209
x16rt.mine.zergpool.com,103.249.70.7
x16rt.na.mine.zpool.ca,198.50.168.213
x16rv2.asia.mine.zergpool.com,51.79.251.11
x16rv2.br.nicehash.com,34.111.213.200
x16rv2.eu.mine.zpool.ca,188.165.24.209
x16rv2.eu.nicehash.com,34.111.213.200
x16rv2.hk.nicehash.com,34.111.213.200
x16rv2.in.nicehash.com,34.111.213.200
x16rv2.jp.mine.zpool.ca,198.50.168.213
x16rv2.jp.nicehash.com,34.111.213.200
x16rv2.mine.zergpool.com,103.249.70.7
x16rv2.na.mine.zpool.ca,198.50.168.213
x16rv2.sea.mine.zpool.ca,198.50.168.213
x16rv2.tron-mining.com,178.62.28.102
x16rv2.usa.nicehash.com,34.111.213.200
x16s.asia.mine.zergpool.com,51.79.251.11
x16s.eu.mine.zpool.ca,188.165.24.209
x16s.jp.mine.zpool.ca,198.50.168.213
x16s.mine.zergpool.com,103.249.70.7
x16s.na.mine.zpool.ca,198.50.168.213
x16s.sea.mine.zpool.ca,198.50.168.213
x17.asia.mine.zergpool.com,51.79.251.11
x17.eu.mine.zpool.ca,188.165.24.209
x17.jp.mine.zpool.ca,198.50.168.213
x17.mine.zergpool.com,103.249.70.7
x17.na.mine.zpool.ca,198.50.168.213
x21s.asia.mine.zergpool.com,51.79.251.11
x21s.eu.mine.zpool.ca,188.165.24.209
x21s.mine.zergpool.com,103.249.70.7
x21s.na.mine.zpool.ca,198.50.168.213
x22i.eu.mine.zpool.ca,188.165.24.209
x22i.jp.mine.zpool.ca,198.50.168.213
x22i.mine.zergpool.com,103.249.70.7
x22i.na.mine.zpool.ca,198.50.168.213
x25x.asia.mine.zergpool.com,51.79.251.11
x25x.eu.mine.zergpool.com,141.95.55.97
x25x.eu.mine.zpool.ca,188.165.24.209
x25x.mine.zergpool.com,103.249.70.7
x25x.mine.zpool.ca,198.50.168.213
x25x.na.mine.zpool.ca,198.50.168.213
xao.pool.mine2gether.com,138.201.129.138
xcash.steadyhash.org,147.135.1.163
xcn.suprnova.cc,138.201.120.49
xd.frostypool.com,104.21.92.183
xdna.suprnova.cc,217.182.138.181
xeq.blockchainmeup.org,209.160.96.122
xeq.pool-pay.com,144.76.173.210
xerom-eu.upool.in,199.59.243.223
xerom.weeminepool.com,142.44.216.170
xevan.asia.mine.zergpool.com,51.79.251.11
xevan.eu.mine.zergpool.com,141.95.55.97
xevan.eu.mine.zpool.ca,188.165.24.209
xevan.jp.mine.zpool.ca,198.50.168.213
xevan.mine.blazepool.com,3.64.163.50
xevan.mine.zergpool.com,103.249.70.7
xevan.mine.zpool.ca,198.50.168.213
xevan.na.mine.zpool.ca,198.50.168.213
xhvpool.dlinodes.com,207.201.218.150
xk.anomp.com,39.98.207.157
xmc.pool.minergate.com,176.9.16.231
xmr-us.dwarfpool.com,127.0.0.1
xmr.2miners.com,162.19.139.184
xmr.antpool.com,47.106.171.224
xmr.pool.gntl.co.uk,82.69.122.59
xmr.pool.minergate.com,49.12.80.38
xmr.ss.dxpool.com,35.76.39.213
xmrpool.eu,51.89.217.80
xserty.com,104.238.162.100
xsg.altpool.pro,54.38.69.101
xta.pacificpool.ws,64.70.19.203
xta.pool-pay.com,5.9.95.125
xtri.minercountry.com,3.19.116.195
xvg-blake2s.f2pool.com,8.218.63.57
xvg-lyra.f2pool.com,8.218.63.57
xvg-scrypt.f2pool.com,8.218.63.57
xvg-x17.f2pool.com,8.218.63.57
xwp.blockchainmeup.org,209.160.96.119
xzc.2miners.com,162.19.139.182
yescrypt.asia.mine.zergpool.com,51.79.251.11
yescrypt.eu.mine.zergpool.com,141.95.55.97
yescrypt.eu.mine.zpool.ca,198.50.168.213
yescrypt.jp.mine.zpool.ca,198.50.168.213
yescrypt.mine.zergpool.com,103.249.70.7
yescrypt.mine.zpool.ca,198.50.168.213
yescrypt.mining-dutch.nl,51.178.179.75
yescrypt.na.mine.zpool.ca,198.50.168.213
yescrypt.sea.mine.zpool.ca,198.50.168.213
yescryptr16.asia.mine.zergpool.com,51.79.251.11
yescryptr16.eu.mine.zergpool.com,141.95.55.97
yescryptr16.eu.mine.zpool.ca,188.165.24.209
yescryptr16.jp.mine.zpool.ca,198.50.168.213
yescryptr16.mine.zergpool.com,103.249.70.7
yescryptr16.mine.zpool.ca,198.50.168.213
yescryptr16.mining-dutch.nl,51.178.179.75
yescryptr16.na.mine.zpool.ca,198.50.168.213
yescryptr32.asia.mine.zergpool.com,51.79.251.11
yescryptr32.eu.mine.zergpool.com,141.95.55.97
yescryptr32.eu.mine.zpool.ca,188.165.24.209
yescryptr32.jp.mine.zpool.ca,198.50.168.213
yescryptr32.mine.zergpool.com,103.249.70.7
yescryptr32.mining-dutch.nl,51.178.179.75
yescryptr32.na.mine.zpool.ca,198.50.168.213
yescryptr8.eu.mine.zpool.ca,188.165.24.209
yescryptr8.jp.mine.zpool.ca,198.50.168.213
yescryptr8.na.mine.zpool.ca,198.50.168.213
yespower.asia.mine.zergpool.com,51.79.251.11
yespower.eu.mine.zergpool.com,141.95.55.97
yespower.eu.mine.zpool.ca,188.165.24.209
yespower.jp.mine.zpool.ca,198.50.168.213
yespower.mine.zergpool.com,103.249.70.7
yespower.mining-dutch.nl,51.178.179.75
yespower.na.mine.zpool.ca,198.50.168.213
yespowerr16.asia.mine.zergpool.com,51.79.251.11
yespowerr16.eu.mine.zergpool.com,141.95.55.97
yespowerr16.eu.mine.zpool.ca,188.165.24.209
yespowerr16.mine.zergpool.com,103.249.70.7
yespowerr16.mining-dutch.nl,51.178.179.75
yiimp.ccminer.org,127.0.0.9
yoc.2miners.com,162.19.139.120
ytn.suprnova.cc,138.201.120.49
zano.luckypool.io,141.94.143.236
zcl.2miners.com,162.19.139.181
zcl.altpool.pro,54.38.69.101
zcl.suprnova.cc,54.37.81.148
zcoin-eu.mintpond.com,51.38.208.118
zcoin-us.mintpond.com,144.217.48.60
zcoin.dapool.io,198.100.144.29
zcoin.mintpond.com,51.38.208.118
zdash.suprnova.cc,147.135.220.159
zec-eu.luxor.tech,35.202.11.182
zec-us.luxor.tech,35.202.11.182
zec.2miners.com,162.19.139.181
zec.altpool.pro,54.38.69.101
zec.f2pool.com,172.65.252.61
zec.luxor.tech,34.107.209.233
zec.ss.poolin.com,172.65.254.245
zel-eu.coinblockers.com,103.214.5.103
zel.2miners.com,162.19.139.181
zelsolo-us.coinblockers.com,103.214.5.103
zen-eu.luxor.tech,35.202.11.182
zen-us.luxor.tech,35.202.11.182
zen.2miners.com,162.19.139.181
zen.luxor.tech,34.107.238.104
zen.suprnova.cc,104.248.240.136
zencash.f2pool.com,13.228.26.111
zer.equihub.pro,65.108.45.36
zergpool.com,104.26.1.148
zero.suprnova.cc,217.182.199.85
zeropool.io,73.110.151.82
zhash.br.nicehash.com,34.120.90.10
zhash.eu.nicehash.com,34.120.90.10
zhash.hk.nicehash.com,34.120.90.10
zhash.in.nicehash.com,34.120.90.10
zhash.jp.nicehash.com,34.120.90.10
zhash.usa.nicehash.com,34.120.90.10
zil.rustpool.xyz,54.189.173.252
zp-eu.leafpool.com,72.11.134.170
zpool.ca,104.26.10.22
,
test-batch, 111.11.111.111
